שם קידוח,אגן,ייעוד הקידוח,אתר ניטור,סוג זיהום,תאריך מדידה,עומק הדיגום,סמל פרמטר,יחידת מידה,ריכוז,סמן
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1988,,TCEY,microgr/L,25,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1988,,TECE,microgr/L,20,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1989,,TCEY,microgr/L,13,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1989,,TECE,microgr/L,55,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1990,,TCEY,microgr/L,97,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1990,,TECE,microgr/L,110,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1991,,TCEY,microgr/L,1900,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1991,,TECE,microgr/L,2400,
מק שומרה 4,גליל מערבי,חברת מקורות,,,4/23/1991,,TCEY,microgr/L,0,
מק שומרה 4,גליל מערבי,חברת מקורות,,,4/23/1991,,TECE,microgr/L,0.2,
מק ניר עם 6,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק ניר עם 6,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק יד מרדכי 13,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק יד מרדכי 13,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק יד מרדכי 6,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק יד מרדכי 6,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק אלגיה 1,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק אלגיה 1,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק יבנה 2,חוף,חברת מקורות,,,5/21/1991,,TCEY,microgr/L,0,
מק יבנה 2,חוף,חברת מקורות,,,5/21/1991,,TECE,microgr/L,0,
מק יבנה 14,חוף,חברת מקורות,,,5/21/1991,,TCEY,microgr/L,0,
מק יבנה 14,חוף,חברת מקורות,,,5/21/1991,,TECE,microgr/L,0,
מק שורק 3,חוף,חברת מקורות,,,5/21/1991,,TCEY,microgr/L,0,
מק שורק 3,חוף,חברת מקורות,,,5/21/1991,,TECE,microgr/L,0,
מק עין כרם 9,ירקתן,חברת מקורות,,,5/27/1991,,TCEY,microgr/L,0,
מק עין כרם 9,ירקתן,חברת מקורות,,,5/27/1991,,TECE,microgr/L,0,
מק נ ח רובין 2,חוף,חברת מקורות,,,5/28/1991,,TCEY,microgr/L,0,
מק נ ח רובין 2,חוף,חברת מקורות,,,5/28/1991,,TECE,microgr/L,0,
פ רובין 1,חוף,פרטי,,,5/28/1991,,TCEY,microgr/L,0,
פ רובין 1,חוף,פרטי,,,5/28/1991,,TECE,microgr/L,0,
מק שורק 6,חוף,חברת מקורות,,,5/28/1991,,TCEY,microgr/L,0.95,
מק שורק 6,חוף,חברת מקורות,,,5/28/1991,,TECE,microgr/L,0,
מק נירים 5,חוף,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק נירים 5,חוף,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0.15,
מק כסופים 2,חוף,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק כסופים 2,חוף,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0,
מק יד מרדכי 4,חוף,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק יד מרדכי 4,חוף,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0.15,
מק זיקים 1,חוף,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק זיקים 1,חוף,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0,
מק להט 7,חוף,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק להט 7,חוף,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0,
מק ראש העין 6,ירקתן,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק ראש העין 6,ירקתן,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0,
מק ראש העין 4,ירקתן,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
מק ראש העין 4,ירקתן,חברת מקורות,,,6/4/1991,,TECE,microgr/L,0,
מק יבנה 7,חוף,חברת מקורות,,,6/11/1991,,TCEY,microgr/L,0.65,
מק יבנה 7,חוף,חברת מקורות,,,6/11/1991,,TECE,microgr/L,0.2,
מק ראש העין 9,ירקתן,חברת מקורות,,,6/11/1991,,TCEY,microgr/L,0,
מק ראש העין 9,ירקתן,חברת מקורות,,,6/11/1991,,TECE,microgr/L,0,
מק ואדי מערה 2,כרמל,חברת מקורות,,,6/12/1991,,TCEY,microgr/L,0,
מק ואדי מערה 2,כרמל,חברת מקורות,,,6/12/1991,,TECE,microgr/L,0,
מק שמרון 5,ההר המזרחי,חברת מקורות,,,6/12/1991,,TCEY,microgr/L,0,
מק שמרון 5,ההר המזרחי,חברת מקורות,,,6/12/1991,,TECE,microgr/L,0,
מק שרון דרומי 103,ירקתן,חברת מקורות,,,6/16/1991,,TCEY,microgr/L,0,
מק שרון דרומי 103,ירקתן,חברת מקורות,,,6/16/1991,,TECE,microgr/L,0,
מק עמקא 3,גליל מערבי,חברת מקורות,,,6/16/1991,,TCEY,microgr/L,0,
מק עמקא 3,גליל מערבי,חברת מקורות,,,6/16/1991,,TECE,microgr/L,0,
מק מגדל 9,חוף,חברת מקורות,,,6/19/1991,,TCEY,microgr/L,3.4,
מק מגדל 9,חוף,חברת מקורות,,,6/19/1991,,TECE,microgr/L,0.15,
מק מגדל 14,חוף,חברת מקורות,,,6/19/1991,,TCEY,microgr/L,0,
מק מגדל 14,חוף,חברת מקורות,,,6/19/1991,,TECE,microgr/L,0.12,
מק מגדל 13,חוף,חברת מקורות,,,6/19/1991,,TCEY,microgr/L,0.3,
מק מגדל 13,חוף,חברת מקורות,,,6/19/1991,,TECE,microgr/L,0.23,
מק מפרץ 6א,גליל מערבי,חברת מקורות,,,6/19/1991,,TCEY,microgr/L,16.6,
מק מפרץ 6א,גליל מערבי,חברת מקורות,,,6/19/1991,,TECE,microgr/L,0.17,
מק כברי 15,גליל מערבי,חברת מקורות,,,6/19/1991,,TCEY,microgr/L,0.35,
מק כברי 15,גליל מערבי,חברת מקורות,,,6/19/1991,,TECE,microgr/L,0.25,
מק נח 19,חוף,חברת מקורות,,,7/2/1991,,TCEY,microgr/L,0,
מק נח 19,חוף,חברת מקורות,,,7/2/1991,,TECE,microgr/L,0,
מק נחי 21,חוף,חברת מקורות,,,7/2/1991,,TCEY,microgr/L,0.13,
מק נחי 21,חוף,חברת מקורות,,,7/2/1991,,TECE,microgr/L,2.7,
מק נחי 9,חוף,חברת מקורות,,,7/2/1991,,TCEY,microgr/L,0,
מק נחי 9,חוף,חברת מקורות,,,7/2/1991,,TECE,microgr/L,0,
מק ברעם 1,כנרת,חברת מקורות,,,7/8/1991,,TCEY,microgr/L,0,
מק ברעם 1,כנרת,חברת מקורות,,,7/8/1991,,TECE,microgr/L,0.2,
מק אלוני הבשן 3,כנרת,חברת מקורות,,,7/30/1991,,TCEY,microgr/L,0,
מק אלוני הבשן 3,כנרת,חברת מקורות,,,7/30/1991,,TECE,microgr/L,0,
מק עין כרם 13,ירקתן,חברת מקורות,,,8/13/1991,,TCEY,microgr/L,0,
מק עין כרם 13,ירקתן,חברת מקורות,,,8/13/1991,,TECE,microgr/L,0,
מק כפר אוריה 7,ירקתן,חברת מקורות,,,8/13/1991,,TCEY,microgr/L,0,
מק כפר אוריה 7,ירקתן,חברת מקורות,,,8/13/1991,,TECE,microgr/L,0,
מק חולון 6,חוף,חברת מקורות,,,8/19/1991,,TCEY,microgr/L,0,
מק חולון 6,חוף,חברת מקורות,,,8/19/1991,,TECE,microgr/L,0,
מק חדרה 1,חוף,חברת מקורות,,,8/19/1991,,TCEY,microgr/L,0,
מק חדרה 1,חוף,חברת מקורות,,,8/19/1991,,TECE,microgr/L,0,
מק נחלי מנשה14,חוף,חברת מקורות,,,8/19/1991,,TCEY,microgr/L,0,
מק נחלי מנשה14,חוף,חברת מקורות,,,8/19/1991,,TECE,microgr/L,0,
מק חדרה 3,חוף,חברת מקורות,,,8/19/1991,,TCEY,microgr/L,0,
מק חדרה 3,חוף,חברת מקורות,,,8/19/1991,,TECE,microgr/L,0,
מק חולון 1,חוף,חברת מקורות,,,9/15/1991,,TCEY,microgr/L,0,
מק חולון 1,חוף,חברת מקורות,,,9/15/1991,,TECE,microgr/L,0,
מק עגור  4,ירקתן,חברת מקורות,,,10/8/1991,,TCEY,microgr/L,0.2,<
מק עגור  4,ירקתן,חברת מקורות,,,10/8/1991,,TECE,microgr/L,0.15,<
פ נתניה 42,חוף,פרטי,,,10/13/1991,,TCEY,microgr/L,0.2,<
פ נתניה 42,חוף,פרטי,,,10/13/1991,,TECE,microgr/L,0.15,<
פ נתניה 34 עיר,חוף,פרטי,,,10/13/1991,,TCEY,microgr/L,0.2,<
פ נתניה 34 עיר,חוף,פרטי,,,10/13/1991,,TECE,microgr/L,0.15,<
מק חזון 4,גליל מערבי,חברת מקורות,,,10/20/1991,,TCEY,microgr/L,0.2,<
מק חזון 4,גליל מערבי,חברת מקורות,,,10/20/1991,,TECE,microgr/L,0.15,<
מק ודי ערה 1,ירקתן,חברת מקורות,,,10/21/1991,,TCEY,microgr/L,0.2,<
מק ודי ערה 1,ירקתן,חברת מקורות,,,10/21/1991,,TECE,microgr/L,0.15,<
מק חולון 4,חוף,חברת מקורות,,,10/22/1991,,TCEY,microgr/L,0.2,<
מק חולון 4,חוף,חברת מקורות,,,10/22/1991,,TECE,microgr/L,0.15,<
מק חולון א3,חוף,חברת מקורות,,,10/22/1991,,TCEY,microgr/L,0.2,<
מק חולון א3,חוף,חברת מקורות,,,10/22/1991,,TECE,microgr/L,0.15,<
מק חולון 14,חוף,חברת מקורות,,,10/22/1991,,TCEY,microgr/L,9.5,
מק חולון 14,חוף,חברת מקורות,,,10/22/1991,,TECE,microgr/L,0.3,
מק חולון 19,חוף,חברת מקורות,,,10/22/1991,,TCEY,microgr/L,0.5,
מק חולון 19,חוף,חברת מקורות,,,10/22/1991,,TECE,microgr/L,0.15,<
מק חולון 2,חוף,חברת מקורות,,,10/28/1991,,TCEY,microgr/L,0.2,<
מק חולון 2,חוף,חברת מקורות,,,10/28/1991,,TECE,microgr/L,0.2,
מק חולון 17,חוף,חברת מקורות,,,10/28/1991,,TCEY,microgr/L,0.2,<
מק חולון 17,חוף,חברת מקורות,,,10/28/1991,,TECE,microgr/L,0.15,<
מק חולון 18,חוף,חברת מקורות,,,10/28/1991,,TCEY,microgr/L,0.2,<
מק חולון 18,חוף,חברת מקורות,,,10/28/1991,,TECE,microgr/L,0.15,<
מק חולון 5,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,1.6,
מק חולון 5,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.15,<
מק חולון 12,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,0.2,<
מק חולון 12,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.15,<
מק חולון 16,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,0.2,<
מק חולון 16,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.4,
מק חולון 23,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,0.2,<
מק חולון 23,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.15,<
מק חולון 1,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,0.2,
מק חולון 1,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.2,
מק חולון 6,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,0.2,<
מק חולון 6,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.15,<
מק חולון א11,חוף,חברת מקורות,,,10/29/1991,,TCEY,microgr/L,0.2,<
מק חולון א11,חוף,חברת מקורות,,,10/29/1991,,TECE,microgr/L,0.15,<
מק מפרץ 6א,גליל מערבי,חברת מקורות,,,11/10/1991,,TCEY,microgr/L,99,
מק מפרץ 6א,גליל מערבי,חברת מקורות,,,11/10/1991,,TECE,microgr/L,0.8,
מק חולון 14,חוף,חברת מקורות,,,11/11/1991,,TCEY,microgr/L,10.1,
מק חולון 14,חוף,חברת מקורות,,,11/11/1991,,TECE,microgr/L,0.2,
מק נח ארז שקמה 11,חוף,חברת מקורות,,,11/13/1991,,TCEY,microgr/L,0.2,<
מק נח ארז שקמה 11,חוף,חברת מקורות,,,11/13/1991,,TECE,microgr/L,0.15,<
מק ציפורי 2 א,כנרת,חברת מקורות,,,12/8/1991,,TCEY,microgr/L,0.2,<
מק ציפורי 2 א,כנרת,חברת מקורות,,,12/8/1991,,TECE,microgr/L,0.15,<
מק חולון 21,חוף,חברת מקורות,,,12/10/1991,,TCEY,microgr/L,2.7,
מק חולון 21,חוף,חברת מקורות,,,12/10/1991,,TECE,microgr/L,0.15,<
מק חולון 20,חוף,חברת מקורות,,,12/10/1991,,TCEY,microgr/L,0.2,<
מק חולון 20,חוף,חברת מקורות,,,12/10/1991,,TECE,microgr/L,0.15,<
מק צפורי 1,ההר המזרחי,חברת מקורות,,,12/16/1991,,TCEY,microgr/L,0.2,<
מק צפורי 1,ההר המזרחי,חברת מקורות,,,12/16/1991,,TECE,microgr/L,0.4,
מק מרזבה 9,נגב והערבה,חברת מקורות,,,12/16/1991,,TCEY,microgr/L,0.2,<
מק מרזבה 9,נגב והערבה,חברת מקורות,,,12/16/1991,,TECE,microgr/L,0.15,<
מק צופר 8,נגב והערבה,חברת מקורות,,,12/16/1991,,TCEY,microgr/L,0.2,<
מק צופר 8,נגב והערבה,חברת מקורות,,,12/16/1991,,TECE,microgr/L,0.15,<
מק צופר 7,נגב והערבה,חברת מקורות,,,12/16/1991,,TCEY,microgr/L,0.2,<
מק צופר 7,נגב והערבה,חברת מקורות,,,12/16/1991,,TECE,microgr/L,0.15,<
מק קרן 5,גליל מערבי,חברת מקורות,,,12/17/1991,,TCEY,microgr/L,0.2,<
מק קרן 5,גליל מערבי,חברת מקורות,,,12/17/1991,,TECE,microgr/L,0.15,<
מק שומרה 2,גליל מערבי,חברת מקורות,,,12/17/1991,,TCEY,microgr/L,0.2,<
מק שומרה 2,גליל מערבי,חברת מקורות,,,12/17/1991,,TECE,microgr/L,0.2,
מק שוקק 1,ההר המזרחי,חברת מקורות,,,12/22/1991,,TCEY,microgr/L,0.2,<
מק שוקק 1,ההר המזרחי,חברת מקורות,,,12/22/1991,,TECE,microgr/L,0.15,
פ משתלה 3,כנרת,פרטי,,,12/23/1991,,TCEY,microgr/L,0.2,<
פ משתלה 3,כנרת,פרטי,,,12/23/1991,,TECE,microgr/L,0.15,<
מק בירה 4,ההר המזרחי,חברת מקורות,,,12/30/1991,,TCEY,microgr/L,0.2,<
מק בירה 4,ההר המזרחי,חברת מקורות,,,12/30/1991,,TECE,microgr/L,0.15,<
מק תל חצור 1,כנרת,חברת מקורות,,,12/30/1991,,TCEY,microgr/L,0.3,
מק תל חצור 1,כנרת,חברת מקורות,,,12/30/1991,,TECE,microgr/L,1.2,
מק אתר אשכול 3 נטופה,גליל מערבי,חברת מקורות,,,1/1/1992,,TCEY,microgr/L,0,
מק אתר אשכול 3 נטופה,גליל מערבי,חברת מקורות,,,1/1/1992,,TECE,microgr/L,0,
מק אתר אשכול 3 נטופה,גליל מערבי,חברת מקורות,,,1/1/1992,,TCEY,microgr/L,0.2,<
מק אתר אשכול 3 נטופה,גליל מערבי,חברת מקורות,,,1/1/1992,,TECE,microgr/L,0.15,<
מק מענית א4,ירקתן,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0,
מק מענית א4,ירקתן,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0,
מק נחלי מנשה 4,חוף,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0,
מק נחלי מנשה 4,חוף,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0,
מק חדרה 5,חוף,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0,
מק חדרה 5,חוף,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0,
מק נחלי מנשה 13,חוף,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0,
מק נחלי מנשה 13,חוף,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0,
מק מענית א4,ירקתן,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0.2,<
מק מענית א4,ירקתן,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0.15,<
מק נחלי מנשה 4,חוף,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0.2,<
מק נחלי מנשה 4,חוף,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0.15,<
מק חדרה 5,חוף,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0.2,<
מק חדרה 5,חוף,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0.15,<
מק נחלי מנשה 13,חוף,חברת מקורות,,,1/6/1992,,TCEY,microgr/L,0.2,<
מק נחלי מנשה 13,חוף,חברת מקורות,,,1/6/1992,,TECE,microgr/L,0.15,<
מק עין כרם 6,ירקתן,חברת מקורות,,,1/8/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,1/8/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,1/8/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,1/8/1992,,TECE,microgr/L,0.15,
מק יעבץ 2,ירקתן,חברת מקורות,,,1/14/1992,,TCEY,microgr/L,0,
מק יעבץ 2,ירקתן,חברת מקורות,,,1/14/1992,,TECE,microgr/L,0.2,
מק בארותיים 3,ירקתן,חברת מקורות,,,1/14/1992,,TCEY,microgr/L,0,
מק בארותיים 3,ירקתן,חברת מקורות,,,1/14/1992,,TECE,microgr/L,0,
מק בארותיים 1,ירקתן,חברת מקורות,,,1/14/1992,,TCEY,microgr/L,0,
מק בארותיים 1,ירקתן,חברת מקורות,,,1/14/1992,,TECE,microgr/L,0,
מק יעבץ 2,ירקתן,חברת מקורות,,,1/14/1992,,TCEY,microgr/L,0.2,<
מק יעבץ 2,ירקתן,חברת מקורות,,,1/14/1992,,TECE,microgr/L,0.2,
מק בארותיים 3,ירקתן,חברת מקורות,,,1/14/1992,,TCEY,microgr/L,0.2,<
מק בארותיים 3,ירקתן,חברת מקורות,,,1/14/1992,,TECE,microgr/L,0.15,<
מק בארותיים 1,ירקתן,חברת מקורות,,,1/14/1992,,TCEY,microgr/L,0.2,<
מק בארותיים 1,ירקתן,חברת מקורות,,,1/14/1992,,TECE,microgr/L,0.15,<
מק מצפה יריחו 5,ההר המזרחי,חברת מקורות,,,1/15/1992,,TCEY,microgr/L,0,
מק מצפה יריחו 5,ההר המזרחי,חברת מקורות,,,1/15/1992,,TECE,microgr/L,0,
מק מצפה יריחו 5,ההר המזרחי,חברת מקורות,,,1/15/1992,,TCEY,microgr/L,0.2,<
מק מצפה יריחו 5,ההר המזרחי,חברת מקורות,,,1/15/1992,,TECE,microgr/L,0.15,<
מק כוכב השחר,ההר המזרחי,חברת מקורות,,,1/28/1992,,TCEY,microgr/L,0,
מק כוכב השחר,ההר המזרחי,חברת מקורות,,,1/28/1992,,TECE,microgr/L,0,
מק כוכב השחר,ההר המזרחי,חברת מקורות,,,1/28/1992,,TCEY,microgr/L,0.2,<
מק כוכב השחר,ההר המזרחי,חברת מקורות,,,1/28/1992,,TECE,microgr/L,0.15,<
מק חמרה 1 (עטרה),ההר המזרחי,חברת מקורות,,,1/28/1992,,TCEY,microgr/L,0.2,<
מק חמרה 1 (עטרה),ההר המזרחי,חברת מקורות,,,1/28/1992,,TECE,microgr/L,0.15,<
מק עין כרם 6,ירקתן,חברת מקורות,,,1/29/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,1/29/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,1/29/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,1/29/1992,,TECE,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,2/20/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,2/20/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,2/20/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,2/20/1992,,TECE,microgr/L,0,
מק לוד 32,ירקתן,חברת מקורות,,,3/3/1992,,TCEY,microgr/L,0,
מק לוד 32,ירקתן,חברת מקורות,,,3/3/1992,,TECE,microgr/L,0,
מק לוד 32,ירקתן,חברת מקורות,,,3/3/1992,,TCEY,microgr/L,0.2,<
מק לוד 32,ירקתן,חברת מקורות,,,3/3/1992,,TECE,microgr/L,0.15,<
פ נתניה 39 עיר,חוף,פרטי,,,3/10/1992,,TCEY,microgr/L,0,
פ נתניה 39 עיר,חוף,פרטי,,,3/10/1992,,TECE,microgr/L,0,
פ נתניה 35 עיר,חוף,פרטי,,,3/10/1992,,TCEY,microgr/L,0,
פ נתניה 35 עיר,חוף,פרטי,,,3/10/1992,,TECE,microgr/L,0,
פ נתניה 10 עיר,חוף,פרטי,,,3/10/1992,,TCEY,microgr/L,0,
פ נתניה 10 עיר,חוף,פרטי,,,3/10/1992,,TECE,microgr/L,0,
פ נתניה 39 עיר,חוף,פרטי,,,3/10/1992,,TCEY,microgr/L,0.2,<
פ נתניה 39 עיר,חוף,פרטי,,,3/10/1992,,TECE,microgr/L,0.15,<
פ נתניה 35 עיר,חוף,פרטי,,,3/10/1992,,TCEY,microgr/L,0.2,<
פ נתניה 35 עיר,חוף,פרטי,,,3/10/1992,,TECE,microgr/L,0.15,<
פ נתניה 10 עיר,חוף,פרטי,,,3/10/1992,,TCEY,microgr/L,0.2,<
פ נתניה 10 עיר,חוף,פרטי,,,3/10/1992,,TECE,microgr/L,0.15,<
מק עין כרם 6,ירקתן,חברת מקורות,,,3/11/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,3/11/1992,,TECE,microgr/L,0.22,
מק עין כרם 4,ירקתן,חברת מקורות,,,3/11/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,3/11/1992,,TECE,microgr/L,0.15,
מק עין כרם 6,ירקתן,חברת מקורות,,,3/19/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,3/19/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,3/19/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,3/19/1992,,TECE,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,4/1/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,4/1/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,4/1/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,4/1/1992,,TECE,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,4/8/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,4/8/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,4/8/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,4/8/1992,,TECE,microgr/L,0,
מק חולון 15,חוף,חברת מקורות,,,4/21/1992,,TCEY,microgr/L,0.25,
מק חולון 15,חוף,חברת מקורות,,,4/21/1992,,TECE,microgr/L,0,
מק נחלי מנשה 20,חוף,חברת מקורות,,,4/28/1992,,TCEY,microgr/L,0,
מק נחלי מנשה 20,חוף,חברת מקורות,,,4/28/1992,,TECE,microgr/L,0,
מק נחלי מנשה 20,חוף,חברת מקורות,,,4/28/1992,,TCEY,microgr/L,0.2,<
מק נחלי מנשה 20,חוף,חברת מקורות,,,4/28/1992,,TECE,microgr/L,0.15,<
מק חולון 12,חוף,חברת מקורות,,,5/3/1992,,TCEY,microgr/L,0,
מק חולון 12,חוף,חברת מקורות,,,5/3/1992,,TECE,microgr/L,0,
מק חולון 12,חוף,חברת מקורות,,,5/3/1992,,TCEY,microgr/L,0.2,<
מק חולון 12,חוף,חברת מקורות,,,5/3/1992,,TECE,microgr/L,0.15,<
מק עין כרם 4,ירקתן,חברת מקורות,,,5/13/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,5/13/1992,,TECE,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,5/19/1992,,TCEY,microgr/L,0,
מק עין כרם 6,ירקתן,חברת מקורות,,,5/19/1992,,TECE,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,5/19/1992,,TCEY,microgr/L,0,
מק עין כרם 4,ירקתן,חברת מקורות,,,5/19/1992,,TECE,microgr/L,0,
מק פצאל 3,ההר המזרחי,חברת מקורות,,,5/19/1992,,TCEY,microgr/L,0,
מק פצאל 3,ההר המזרחי,חברת מקורות,,,5/19/1992,,TECE,microgr/L,0,
מק פצאל 2,ההר המזרחי,חברת מקורות,,,5/19/1992,,TCEY,microgr/L,0,
מק פצאל 2,ההר המזרחי,חברת מקורות,,,5/19/1992,,TECE,microgr/L,0,
מק פצאל 3,ההר המזרחי,חברת מקורות,,,5/19/1992,,TCEY,microgr/L,0.2,<
מק פצאל 3,ההר המזרחי,חברת מקורות,,,5/19/1992,,TECE,microgr/L,0.15,<
מק פצאל 2,ההר המזרחי,חברת מקורות,,,5/19/1992,,TCEY,microgr/L,0.2,<
מק פצאל 2,ההר המזרחי,חברת מקורות,,,5/19/1992,,TECE,microgr/L,0.15,<
מק טירלי 6,כרמל,חברת מקורות,,,5/24/1992,,TCEY,microgr/L,0,
מק טירלי 6,כרמל,חברת מקורות,,,5/24/1992,,TECE,microgr/L,0,
מק טירלי 6,כרמל,חברת מקורות,,,5/24/1992,,TCEY,microgr/L,0.2,<
מק טירלי 6,כרמל,חברת מקורות,,,5/24/1992,,TECE,microgr/L,0.15,<
מק כורדני 1,גליל מערבי,חברת מקורות,,,5/26/1992,,TCEY,microgr/L,0,
מק כורדני 1,גליל מערבי,חברת מקורות,,,5/26/1992,,TECE,microgr/L,0,
מק אילת 106,נגב והערבה,חברת מקורות,,,5/26/1992,,TCEY,microgr/L,0,
מק אילת 106,נגב והערבה,חברת מקורות,,,5/26/1992,,TECE,microgr/L,0,
מק כורדני 1,גליל מערבי,חברת מקורות,,,5/26/1992,,TCEY,microgr/L,0.2,<
מק כורדני 1,גליל מערבי,חברת מקורות,,,5/26/1992,,TECE,microgr/L,0.15,<
מק אילת 106,נגב והערבה,חברת מקורות,,,5/26/1992,,TCEY,microgr/L,0.2,<
מק אילת 106,נגב והערבה,חברת מקורות,,,5/26/1992,,TECE,microgr/L,0.15,<
מק שפלת לוד 15,ירקתן,חברת מקורות,,,5/31/1992,,TCEY,microgr/L,0,
מק שפלת לוד 15,ירקתן,חברת מקורות,,,5/31/1992,,TECE,microgr/L,0,
מק שפלת לוד 15,ירקתן,חברת מקורות,,,5/31/1992,,TCEY,microgr/L,0.2,<
מק שפלת לוד 15,ירקתן,חברת מקורות,,,5/31/1992,,TECE,microgr/L,0.15,<
מק עמקא 2,גליל מערבי,חברת מקורות,,,6/1/1992,,TCEY,microgr/L,0,
